Request,Response
Why,Uze Mukanya
Rekambaze Meri Numve,Aranze Ngo Tommorow
Xw ejo nzakubwir,Ntrb
Vp,"Poaa, Christian n Kevin tuzahurir gogosi"
Saangahe,"Ku1 saa2, Uyumunsi  simpar"
Saw Ahubwo Uma Nbr Za Animatrice Rozine,Suhari Kubera
Nsjyiy kW grnd mere,
Kuva Hm Ujyer Hood Nangahe,Nako Kuva Hood Iwanyu Ujyera Gogosi Nangahe
Kur tap&go ni350 cash kur moto 1000,
Our Last Night Bro At Home,"Yhh, Ndunv ishur ryavah, Ejo gahund, Ax tuzahurira h"
Kumarembo,Hahandi Haba Hari Ibiranga Munu
"Hehe, Nyabugogo cg ahad, Ahand, Ugere mugiporoso",Nyabugogo
Hehx,Vp
Poa,uma nbr zae
0789407816,uz kw beniciel
"Wp, Ark nihafi y hon, Home**, Urashak kwirasayo x",
Vp bro,Poa
Urikucy,Yoo gasamak
Gasamak na nyok na cleophas,Ng gt x
Nee ntrb 2,Doo
Wasuy ndx,"None, Tenture"
Hhhh,Ark nayikuyem
Hhh ark nukambeshye wagi petit wee,Seriee
Cykz ni wanee,Vpp
Poa,Ur mubik x
Ntcy,",  , Urarymamy nnh"
Hoy namwawe nkawe,"Gxr, Ng ndikurb tv"
Nanjy,Urikurb iki
Movie,
Nabony wahinduy noeh akenda,"Akahe x, Gxr sinamwae knyk"
Waramwawe siwahorag mugapira kamwe karimo ubururu Mu gatuza,"Gxr, Wakambony mo x, Woe uj mugakino vuba"
Subw ntanisoni man reba kuri IG yae akenda kamwe gus puu waramwaw,Man nukur ucyeney inkunga uzaze nkuremere dore mfite udupira twinshi nacyambara uzaze nguhemo nka dutatu
Uzaduhe so,Nzaduh cleophas ni Iberi udusigar nduhe sabrina
,Subu uracyambar ya kariso yumukara ya tommy
"Hhhh, Fooo",Iriya nbr yae iba momo nkoherez 300 Ugure mwanawome basi ujye uhindurany
"Yigo ibaho, None",Gxr sindi compasion yisabe nyoko cg cleophas
"None, None, Vp maberr ynyok",Poer
Pt vp,Pt ni so
Hhh,Uracyarumwan uzakur
Gxr nyok,Hhhhh
?umbabarire kugutesha umwanya ndi Imana nkubera iki utampa umwanya kandi narakurinze nkuva ukivuka kandi nkaba naraguhaye numugisha ndashaka ko ubu butumwa bukwira nisi yose mbere ya saa sita zijoro nubikora nndagukorera ibitangaza 2 mubuzima kandi nnkufashe kubona ibyo ukeneye kandi iminsi nikurikira uzayibamo mumahoro ngaho ohereza nubu butumwa Ku bantu bawe muminota 10.,Yoo
Vp,Gxr na messenger mft mfit lite gusa
Hhh,Sek ufit ishinya nziza
Nfit phone nziza,ntag nyeney k undatir iz phone za mwen cleophas
"Ntrb, Papa arankunda mn",Ntatwe sibatwanga baradukunda niyo manvu batugurira oppo reno real me
"Hhh, Kutajy tsp x",Ndih klv ark woe sinakwandikiy kuk nakamar
"Gashin kanyoko, Wamaze, Ntukandire h shit x kanyok, Jyukina nituba ryanyok, Knd ntamwan ukina aswera nyina",Bivug ark udaseker phone yae kuko nay sishak kuyibuts ipera
"Hhh,",Vp shn
"Pow, Ng gt x",Poa man umzt x
"Flx 2, Nnx biri serie usigay ub tsp",Yg man kubr
Mpa numb x,Rkrk
078845130,Knz ndeb
Ntrb,"None, Ntwikire x muhung wng"
ark warasaz man,"Nyn ntwikira, Utera ka like and comment"
Nae man nz mukur uracyar baband basab like man cykz uranyemez,"Hhhh ndabyemera, Bikore ntrb"
Ubutah ndi kur fb ya chrome knd na mbs mfit,"Xw, Boi"
Ya man rwema yaje karitsiye noe duhor duhur,Hh
Kbr icyx usets,"Ntcy, Ukunt naz, Nzareb"
Ureb icy,Ukuntu nazaza kugusur
knyk ntang iz nyur zae klv,Iki
Ziba klv,"Nyn nzabasur, Woe n  rwem"
Rwema azajyena kuwa 4,Woe mpa gahunda
Ejox wabonek,Kuwa3
Yg,Sinabikoz
Wlly mrc,Ntrb uft camx
"Ni  shoot, Wp n cam",Eee man dutangir duhig cash pee imyak yadusiz ndagasui
"Byagenz ut nnh, Cash ziki",Noex knyk cash zikoricy
"Mn uyu munsi mbonye time, Naza kugusur",Ntrb
"Xw woe ndakubwir, Nsange haricyo kunyw gikonj",Ujyezh x klv
"Burka, Ark urampa itike ingarur",Ntay mfit knyk ubirek cg nta ticket mfit igusubizay
Xw ndj,Urisubizay knyk nta ticket mfit
"Xw vay, Woe n rwem muze",Inz hehex
"Spot view, Sohoka mn umanuk, Bwir rwema muze nahagez",Knyk ntag ndigukina
None,Merci bro
Iki,For visit
Hhh,um yama pics Kur email Iranzithierry2006@gmail.com
Gxr,ubyihorer rer
Oherz mbz,Hhhhh ark baragutemy
"Gxr, None, Ngiz knyk",Ntrb
Sisawa x,Yg
Vp,Boom
"Foo, Unva ingoma irimo",Hh
Irarenz,Kills shot
"Ya dax, Uwo muraper ndamwemera, Arenz 50cent na Eminem mogake",Rkrk
Ndamuzi,Wumwirabur
Man,Foo
Yg,Vp brd
Pw,Um names yatwatwan two kur ig
Knyk nae banz uzimp,Ax man siwareby mur phone man
"Gxr, Pfusha pt",Ntrb knyk nar kuguh z nbr za king lewis
"Zirek ntz.nkenete, Nzikeney Oph lie yazimp, Na djpius, Pt biravuna",Rorer knyk ophelie ntaz agir twaravugany knd nanaguh iz logan joe ngah rorer nzabashk
"Hhhhhhh, Amakosi yantoj kugabanya love no loss pt, Jyunyubah utanzi brr, Bifat uko ubishak arazifit Oph lie, Pt siturikimwe, Kriiiiipaaaaa, Ndakakumeney brr urapfuy",Saw
"Trapish bumshit no cap, Ibyabuz, Zan cash nguh ibyabuz birimubyavuzwee",Sawa pt
Hhhhj,Sawa pt
Brr ndkrb lacasadepapel S5 ngez ep2,Wamaz kanyok urabimbwirase nabikubajije
"Posh gasundi kanyoko, Murakenye",Ahaa rek nkurk
Hhh,Man nasanz nahor mburana nae
Bro uma ya video yacu turi gusohoka mugipang,Gxr
Man mfash nkareb,Soma in msg wambwiy
Bro nimb ubika inzika dat way shn life izakuvuna,"Hhhhhh, Drriiiipaaaa, Diiii, Kriiiipaaaaa, Oherz mbz"
Noex ubw iyumbwir ng ntaz uft nkategerezk uzayim,Vio
Vip,"Y, Mn nahanagay, M lodie"
Hh muvugana icyx brd,"Iturz, Nuk utab tsp, Ng nkhrz voice"
Hhh iy nbr ntag ib tsap,Ntknd br
Kowar umbeshyes brd,Ik
Ng mwavugany,Yp
Hhhhh gxree,"Mn, Rwema jyumwita mane, Sadio mane"
Hhh kbr,"Kiriya Gikar cye sicyo murwanda wlk, Ntamunt bas urets mane"
Hhhh urashinyagur gxr,"Hhhh serie mn, Small gorilla"
Hhhh Gxr siwoe wamupostinze,"Hhh njy mbanumiwe, Cyz amza.abayabihay"
Amza nagaxr nukamumbwir,"Hhh ntrb  ark mn amza ni gee  nMn, Nuk harigih nyn bijaguy"
ax urikuvug uwuh Amza,Musoni
Hhhhh gxr saw nimb ari ghee nkwifurije kuzigana nae akakwicara inyum,"Hhhh, Shn God above all, Wp mn nae muzigane, Nakemera nkig no mur f"
Siwambwiyk ar i ghee,Hhh
Saw bn nuit brd,Yoo
Vp vp,"Ncikany mukany, Araz aha"
Eee ume pics zanyu undeber na phone afite,Xw
Ntrb,"Ndkunv 2pac, No changes"
Ndayizi yose mumutw,"Eeh, Mn ncikany ar spot viw, Mubwire agus, Mubwr, Mn"
Ari linex man,"Yg, Mubwire mn"
Saw,None
Noex arikumarayiki,"Mn wihangan, Fon yae iciyimo, Bananyadikiy msg, None, Reba mn, Sorry mnn"
Noex mn Iyo niya nbr yanjy,"Yg, Uwayifashe yanze kuvuga, Mukanya nanayihamagaye icamo, Ntknd ihangane"
Ntrb,Man niyakiriye
Knd,Sorry nimba mere yagutuse
"None, Nnx yabuz ngwk, Konunva avuga ng argukbit",Ntago
Yankubise,Kubr umujinya mwinshi
Yabuz icy akor,"Eeh, Mn wihangane, Ejo uwayitoye, Yaranyadikiye, Sinabikwerers, Naramuhamagay icamo"
Ntrb,Ugumye mn ugeragez
Ark uma yamafoto,Xw
Yame nyine,None
Merci,None
Kuko phone bagiye kuyinyak,"Xw, Nyamenyesh iki"
None,Abanshak 2
Xw nyn,Serie klv
"Xw, Nnx mam wae yirakaje nanub, None",Nawuhari Yazindukie mukazi
Xw,Eeeeh
Ark hariya gxr ntag Arikwa Beniciel,Nsubiz klv
"Niho yeww, Ark fon yang irarm",Cyna ghee
Foo,Hhhh
Vp,Pw
Bmz bt,"Xe, Xw, Shn nanub mer wae aracyakurakariy"
Hoya,Yabiretse
Eh,Uracyageragez x ya Nbr
Wp,Kmz mn
Nzarb,Ntrb
Arkx wumv bmz bt ibyiriya phone,Ubw x urunva byagend ut ihangan
Ntrb,Ur Mubik x
Ndikurb mv,Eeh
Woec,Ibitente
Hhhh,Ibihx ubwo
Teentitan,Ntabyonzi
Um pics,Eeh
Vp,Poa
None,Vp
Ax aracyarih,Hoya
Yarapfuye,Ryar
2018,"Yeee, Ax uzajy xchl ryar, Ax uzajy xchl ryar"
Kumunsi wogutangira kbs,Woe
"Nage peee, Kucyumweru nifatire igitanda n reffe",Cyane Twagiye Ahubwo
Uzampamagare Tujyane na. Ben,Ben ngo azajyenda kuwa 5
"None, Wp mn tuzagenda ku7, Reba iyo pic yanyuma",Hoya mn Hazaba Haje benshi kbs
Kuwa 5,Shn kuwa5 wpi rwose nzagend ku7
Ntrb,Basi Ku 6
Wp mwn ku7,Subwo uzasanga Nubundi Byose Babitwaye
WP mn,Sawa Ubwo twe Ni 6
Birangir ku7,Yeg
Ark byatangiye kuw 5,Ubwox kuwa 5 bazaza kuwa 6 baze ubwox ku 7 hazaba hasigaye icy
Ntknd nyn br,Yp
"Xw, Uzanfatire",Gxr
Nzagenda 7,"Hhhhh, Kuwa 5, Cyzzz mn uranyica gusa"
Hhhhh,Sinari Nabonye Ririya Tangazo
Nzagenda Monday mn,Sawa Ntrb
Ex Waguz Iyih Kechi,"Ntay mn, Woe x niyh"
Mbwira Gxr Iyo Waguze,Serie  mn niy lebron
Sawa Ngaho Rorera Nanjye Nadodesheje Ya Kechi Isa Icyatsi,"Toka mb, Mbwir gxr"
Yego yewe,Urambesh mn
Serie,Sawa
"Uzazan iyh kech, Mbwir yeew",Jay 1
"Irihehuru x, Nyrk turb",Nguki
"Nyine iyo J1 imez ute, Iciriye hejuru",Yg nindende
Isa ute,Black Ishashagirana
"Intey amatsiko, Nyrk ndeb x",Gxr
Nae banz umbwira iyae,rie  mn Niya LeBron
Sawa ngaho rorera,Cg uzazana igipapa
"Nzazan igisorori, WP.br, Cg izind papa, Cyumwrr, NTa byangwe",Rekasha Ntukambeshe
"Serie brr uzabibon ninza, Yeee, Ubwiyahuz, Wampay ino vid mn plz, Weee",Vp vp
Pow,Iwanyu  si bakwiyingoje Kubr force
Klav siwanyemej x sh,Sw bifite uko ubishk
Tubrk brdz,Ntrb
Urumva ntabikora,
,Vp
"None, Pw",Kucecets 44
Um nbr zae,0789407816
Jya tsa,Tsap
"Knz mukany, Wabony fone x",Yego
Shaa kanshak ijana ndq,Cyn
Knz,Ntrb gose
Mbuz 50 wlly,Ihangane Woe nujyaho Uransangaho
Ntrb,
Subir tsap,Yp
Vp waguan,Vp
"Pw, Ng ark war blocking Kur tsp",Nakubolokoye
Ee,Ark mhn Simbansh buriy bu Fuckin
Hhh chill br,Yp
Ngo bmz gutc Fam,N flx ntrb
Cyz,Undushije icyx
"Gxr, Kiki x",Umva yewee
Gxr,Ufit boro nyinshi
Uzmap itik ngusur. Nibw uzabibon,Ndacyennye ubu kbc
Cyerk next week,"Ntrb woe uzandabur, Ax ubnd wagiz angh"
54,Woex
"CYZ pt warakomy, Wabay uwakangh, 49",
Ntrb mhn,
Woec,Wabay uwakangah
35,Ndaft
Knyk Yikureho,Hhh
Mfash,Ese wow subonako bimwaye
Iki x klv,Irasebetse gxr
Uzik Turi 3,Klv
Hh,Nyerk abntu Bayirebye
Yavuyeh,Yari yarebwe nabntu bangahe
67,Ndagasui
Iki,Batubonye imboga mhmenyo gxr
Humura ABA xhl ninka 20,Ntrb
Iyo Lakers shaaa,"Hhhhh, Yirk sh"
Warayirashe,Tuza mwn
Gxr,Ndakuzi
None,"Nft souris, Irih, Na HDMI"
Eeeh,Njye souris mfit 4
Ehee,Woec
Ik,Iriya boro wayikuyeh
"Tuza mwn, Yandaj amajoro",Hhhhh
Noec nimuri doro yacu wayikuye,Bikwam mwm
Hhhhh,Humura sinakuraburiza kuk nanjye narimfit boro nyinshi woe utanazi
"Izihe, Nyrk imwe, Nange ndkwrk izind",Gxr
Ntapic zazo mfit,Zifotor
Ndaryamy,Gusa ni Jumper ya puma
Eeh,Nae nabony wimonyoyemo iya Nike
Iyihe,Yayind war wambay mur bus klv
"Eeeeh foo, Ark sinayigarur",Kubr
Utazayinyiba,Hhhh
Niyamber mwaryiby,Wallah
Siwanyiby ya Nivea,Ese gashn knyk jumper yae k uba uyinshiz warayinfatanye
Gxr ntago yari iyae,Gxr
None,Nyrk turb
Gxr keep it private,Humur klv
Just Muri secret Conversation,Nyrk nyn
Wajyiyeyo,"Mn nkorsh lite not messenger, Nyrk hano scrn shot"
Gxr,Subundi ikigoryi knyk
"Yo, Yp",Elv missed your video chat.
"Ikk x, Ili",Saw ngah ihangane rero
Knd woe sinkwizera,Gxr
Gxr,3 Stranger Things word effects were added
,Rorera
Swer has gshn knyk,
Mhn woe ur Snitch,Swer has gashin knyk
Mhn Ujy Ukur klv,Ibaz badusubij kur za table
"Ibyae ark byose ninda gashin kanyoko vestine ntagabura maberr y Nyk, Wajyukur, Naso niyo nda agir",Okay brsk
Recyera utarengera Mabere ya nyoko,Sibyox pt
None,Ubuse sister wae yari yakugurira boro nkiyi koko
Fooo,"Eeh numutii, Respect"
Ubuse samaye New year Gift,"Nnx Ur kundatira cg, Ax br knd ubwo Uba wunv murnz"
Ase Gshn knyk woe sujy undatira,Wajyiye umenyak What goes around comes around
"Ahaaaa knkurk, Hariby nakubwir ark singobwa, Enjoy your new year and gifts",Wabivuz x bikarangira
WP brv,None
Cyz bro nibw menyek uri umwana mumutwe,"Ntrb, Vuga bizima, Ark ntukab ipozompo"
None,Saw
Ghee,Sinjya mburana nibigoryi kuko nasanze bibunyanduza
"Urabiz x UNva rero gashin kanyoko vestine niba ataragutoje kubah iy mbw yumugabo NGO n so ntukamenyer umuntu aruvuga k uft boro Nziza ark SiNz ikind ushak swera HASI mabya ya so, Ubanz n Ferdinand arikigiry",Hhh
"Nkicyana cye yabyay imbwa yumwana itazi kuvuga, Br ntugashk k dutukan",Tuzavugane Warakuze  bro
"But know one thing I was tryin to make peace with you, Okk",None
None,Pax Noeh Arasara
Reba Itiriningi yee,Kumbe kivumb yarayimuriy
Fooo,Akimara kuyimutiza ndaq
Yee abana nibabi ndq,Fooo
"Hhhh, Pax nimbw",None
NTG uraryam x mwn,Wapi kbs
Aha,Kubr
Vp,Yooo
Bmz gtc,"Mn uzik kugez nubu nabuz ketch ngur, Bmz nabi, Nabuz uwo nakubita13k, Akmpa kech ifatika, Ndasamy"
Basix wabonye izih ng numv,Nanjye sindafata
"Iki x, Mwn Burk ejo nzemere njye mwisok, Niho hari kech za 8k, Ushobora kubona nzany barlene",Hhhh
Gxr,Nukabeshy
Burk shaa,Nanjye Ndikwinginga Vie
"Umusaba iki, Naba Nae wwtahany inot rifstika",Shn sinz
"Hh, Nnx urigusab ik per wae",Mulla
"Eeeh, Urashk kugur iki",Kechi mhn
Ee,Woec
Sinz,Vp
"Pw, Uwakubwir kech nabony, All star converse n vans",Waziguz
"WP nabuz choice, Nae bwira ngur ok, Oki*, Iki*, Yaba all star numukar numweru kimw.n vanz",Vanz zo Ni izihe
Umukara numweru,Nyine yihe
Noec suzik Hari Vans 3,"Izihe, Vans of wall"
Yego,"Yp, Mrng"
Mrng brsk,Bmz bt x
Ni flx kbs,Woec
Ni poa nrb,Cyzeee
Nijor nariy icyan iminwa,Noec k utajy kugur kechu
Icyihe,Nabuz choice
Mhn Ugure Ibikuryohera,Ark Ugure ako ubona Kari Unique
"Nuwa Cartier bamwit queen, Izir unique n sans marque zubufo",Hhhhhh
Kwama arkc ubund ufit angah,Har nakand k J1 nuko kamez nkabakonw
Reka turebe,"Nft 13k, Sinabona uko nkakwerk kar mwisok, Burk ninza gusubirya"
Noec wajyiy downtown,"Nt tike mere yamp, Br uwakubwir inkon ndiho"
Shn Sorry Kbs Nanjy Ubu mfit 5K nzakomaho kuyo bazama,"Ark Burk sha 2nd term, Ahaa nabe nae"
Nanjye sibarabyemeza ko bazayama,Ahaaaa Sha nabe Nae uft cat
Subwo CAT nazo Uzibara Munkweto mhn Ubwo zakurengera,Hhhhhh
Gxr,Mhn
Sibyo x,Fuck Nzagura Udupapa twa 3.5K
Cat x,Byarashaje
Hh,Wllh
Imana infashij gusa,Uuuh
Petee and bas,Fooo
Ubu nibo ndiho,"Ur Mubik x klv, Urim urareb vid zan, B"
Are u a Virgin hhhhh,Hhh
Gxr,Tik tok imera nkubusazi
Fooo,"Ndbaon uyihary, None, Ndebera ndq, Ibyana byaesb mbona bimez nkbigory"
Nanjye nayibonye,
Yewe ni upside down kok,Kigiz iki babe
"Hh, Uzajy tsp nguh pass sh",None
Reba gahunda ya next week,"Niyhe, Yeeee knd tuzaba Tur esb, Nanone"
Foooo,Ax kombambona wabyishimiyem
Gxr,Hhh
Woec,Wp mwn
Noec wemeje KO uzazana uwuhe muzigo,Vans
Wayiguze,"Ndabanz njye n salle motor ndeb, WP nzabanyigur"
Ntrb,Yp
None,"Have x, Niyo ushak kugura"
"Allah""",Birashoboka
Eeh ahaa,Mhn Nange sinzi
Mbese biri,
Ahaa,Mhn mfite 22K
"Urunva x nyn bitavamo, Igura 23k Cartier",Yaburiya bwoko
"Yp ark ihar Niya red, Ifit umweru HASI size 41",Isa red niy principal
Eeh nnh niyo ushak,Hoya ndashak black
Eee,Vp
"Yoo, None, Ya vanz, Iyo Niya vanz",Cyzeee
Bro ni Wannee,"Fk, Subu nzayigur nzagur new balance, Ark daa wend napfush"
Noec Siwayiguz?,Mhn gura iyo Vanz
"Wp sindayigur, Ni well nnh nrb, Nnh allstar nyirm, Nyirek*",Mhn gura Vanz Gxr
Knz mbanz menye igihe twazagira xchl,Ni 7
Ee,Fooo
"ETA irabivuga klv irabivuga uyumunsi saa11""",Ni neza
Yh,Noec ubu ni saa nghe
Vanz vs new balance,"s ur business"""
"Eeeh, Gxr, Vanz nzemer nzizan",Nubundi
"Ik, Harukuzun new balance zikazandush Ng ndikuzitsimba",Yego nyine knd siwazambara igihe cyoc
Kerk kuwa 6 nka stemp,Fooon
Noec zo urazifite,Wp mwn nzazan ikoboyi n sanglife yumukara
Eeeh,Ntrb
Pow  nOe x,Ya Jodjing na Boro ya 2pac
None,Cyzeeee
"Ik wasomy x klv, Mwn iby rwarukundo nabishiz aside ngiy gukundan nikay mwn kuko icyaleta ....., Ubigir private, Utabyerk leila",Yego ntago nabikor ubw bu fuckin
"K kan, Kanz*",Ujyiyeh
"Kuyizan screen shot, None, Brr ubigir private. Nfssh",None
"Wasomy x, Ubw nib utasomy pfush",Nasomye yewe klv
"Pw, Rero ntabyurukundo, No love am just  a N.W.A",Cyzeee urakankopeyeho gxr
"Wp akanakakera, #paggosmia kyiarchia",Ark ninjyewe watumye mukamenya
"Wp wadagewee, Nakavany IG, Paggosmia kyiarchia aha",
Singombw ng ubyemere,Mhn ng tuzajya skl ryar
"Ntby nw, Nz",Eeeh
Aba suera bar kumbeshy ng ni le27,"Bande x, Kndeb IG Kur mineduc"
Ni Ciel Ambwiye,Nagaswer nyin NTG barabivuga nvuy ig
Eeeeeh,Niko Abyuse Ambwira
Ark ng mere we akora muri REB,Hhhhh
Noeh Wabonye Placide Scania Story ye,"Yishiz h ubwanw ahreeee, Knd Ng num model kings and queen, Ahaaa, None"
Buri wese Afite So Ze,Njyewe ndagur Kechi Nibishake Ark Nyicaranye
Ahaaa,Sibyc
Sasa,Vp
Pw,Mvuye town
"Eeeeh ndabiz wahuy n Gabe, Nab kimom, Ark njy nejo",Woe ejo icy
"Nzajy street, Waziguz x",Yego
Turb,None
None,None
Eee pioa,Ntrb
Umviyo lyrics neza gxr,Iyh
None,No mbz mukany ndj
Ntrb,Ur mubik x
Ntcy Ndaryamy 2,"Mwn nabony umunigga nzagurir new balance 9k knd nsha, Eeh k waryamy kar"
Ese Klv Siwaguze Vanz cg,"Wp sindazigur nzajyend ejo, Ark nzagur iz nb"
"s up to u bro Cyerek Nimba Uzahorana Ibisebe""",Nzajya nambara naza LeBron
Hhhhhhh,"t have a girl friend brr knd"""
Okayyyy,Bro
"ve got to know what I want, Ma goals, Ax uzahitam izihe section""",Nigutyo twex Twivugisha Ark Iyo Ubonye crew ujyendamo Bose Bafit kechi Mhn Wumva Umwaye wllh
"s Gods plan, Ahubg kanunv z lyrics, Zae""",Ntrb mhn NB ntago Bikirenz Naba Pingaye Naba Cedro Naba Lo c ntago Bikirenz mhn
"Yp, Ziriy lyrics x iki",Soma But make a deep Thinking on every word
"t car abt d fkn lyric""",Okay bwoy
Okay,Umvac Ya Jumper Uzayigarura
"Wwp, Oe x",Nanjye Nzayisiga Gxr
Harukuyizan bakayiba,Fooo
"Hhhh, Sw",Yh
Yewe,Yooo ej x tumanukan kamony
Foooo,Uri tayali
"Cyn saa2 cg saa3, Ahubg knyk uzibuk report zo muw1&2",Iyo Muwa 1 ntayo mfite
Ntknd Nyn uzayigur bitatu  nKugenda n ryr,
Nsavug isaha,Saa 14
Pow nrb ubw tuzahuz ejo,None
Ntrb,"Pow, Kombony tsp wnyandikiy x Ng uzaza3"
Yeg,Ee pow nNnx byagenz ut
Nasanz kuritema ar ub fuckin,K A.S.A.P br
None,Wee vp
Poer shn,Watash x
Yego,"Byagenz ut x, Nizerk valise yang ikiri hariya hejur"
Nararwaye,Hoya iri Kwa nshikany
"Eee xw, Nibande x bandi batash b clas",Shn sinzi kbs Kuk natashy kare
Eee,Ark manzi
"Iki, Ubnd x uzasubiray ryr",Kuwa 3
"Eeee, Ee",Yh
N ncikany ark yaratsh,Wapi
"Uzik wabyibagiwe, Mukany arampamagay",Uuuh ntabyonzi rero
Pow,You set the quick reaction to
None,Vp
Yoo,Nnx ur muduk
Bmz gtc,Ntcy Nd Room
"K, Ng ark wabesh yuk urway maraliy",Gxr
Narindwaye by Serious,"Eeh nnh ark warakiz, Nnx nind wasigiy umugati wae"
Nae ark ni cedrick ur kubirya,Hoya Ndacyari gukororor gacy
"Eee, Eyoo, Mukany hagiy gush mwn",Gut
Ndajyan n vie schl,Hhh arakwemez nyin
"Birk mn, Ark ntrbnz",Mwagezey
Yp,Vp wag petit we
Iki,Ntacyo
Watashe x,Yeg
Uhmm,Noec k utajyiy skl
Vp,"Eyo, , Bmz bt x"
Ni flx kbs,Woec
"N Gucci nrb, Ur muduk x",Mvuy Gutarasa tuh
Uum,Woec
Nd kumwe n iniga,Iyihc
"None, Iy niy cartiel",Hhhh
Ng gtx,N flx nrb
Ex mhn loic yitwand fb,Da dy
Namubonye,Yp
Ex wabaye uw kangah,Vp sh
pow nax wabay uwaknagh,Gxr
hhhh,Ng gtx
Ngiy town kugur charge mwn,AHAAAA woe zirakuryohany nbas mbwir ay uwamber yagiz
Zana 300 Babigukorere,Cedrick se siyayatanz ubu safite bulletin ye knd Ataranishyuye
ahree birk mwn,Okay boi
Wmpy in boro,None
"Ypp, Wayimpay tsp mwn",Gxr
Ik x,Ahox bitwayiki
Noec Sinayiguhaye,Nabuz uknt nayi saving
Sufitx messenger,Wp mn nft lite
Poesha Ubu nta mbs mfit rero,Uhnn
Ntrb,Kadafe
Kadage,It nigg x
Ayoo,"Ooo, Ax xchl n ryr"
kuw 1,Jeeez
umvax mhn,Yoo
ex mwn kombandi bored wanz kunkom abana mhn niy wabama fb har irib,"Urashak abah x, Har bensh Batuy nah Iwny"
ntrb woe wana pfa kuma,"Ahaa, Knz ndaguh umw ndb ujy tsp"
ntrb,Pow
nyne ndeber,Jy tsp nyn
ubu nta mbs mfit ark boherez woe ndaz kujyah kur nght bundles mbasangah,Nujyah ndab mpar ubwir
gxre knyk wakoheje njyiy kuryam ubw ah ndibwicurire naho,Humur ark
oky,Pow
Kame,"None, Ute"
Searching,
Mhn Downloading App Bita Cash App,Niserie x cg
Serie,
None,We vp
Poa kbs,Xchl ryr
Kuw 3,"Eee, Ncikany yaj kukureb arakubur"
Mhn Sis yararway arikw mugang nih narind knd narinamubwiy aze saa 12.30 siyaz,Kuel sorry
Hhh ntrb Mwn noec Woe uzajyay ryar,Ej cg kuw5
Eeeh Ntrb waguz kechix cg,"Wp mwn, Sibyinjiz, Woe x"
Ng nguki,"Ntaz mn, Oe x"
Shn Mwn Niya Eleven ya Jules tuh,Eee
Noec Ub Tuz Surviving Ikigihembwe,"Shn ni Haso mwn, Ark stemp zizasigarana bake"
Kbs Niyo mpamv Nzaza ikabutura na sangrife,Nang ikoboy
Yayind,IsanZw
Yewe yew,Bmz gt
Sh ND gud,Ejo skl
:-),"Oe x, Ng sinZ"
Ejo Mwn Njyew Na Gakomeye,Yp muzamanuk
Cynrr,"Pow safe jou, Ubnd x simuzajy nyabugogo"
Yego,"E, Uragend ryr x"
Yewe Ntabihinduye Nzajyenda ejo,Eee
None,"Ek rk mwn, NTG ar esb"
Nihehe,N kind kigo ntz kuk nicarany n mama knd NT byo mbon mur Fon ye
Eeeh,Ubnd x ubikuyeh
Niby bahaay mer,"Eee bamubesh, Ahubg ej tuzamanuk"
Vp,Wee  nPt
Yooo,Watsh ryr x
Kuw 3,Mines x nUsubiyey ryr
Shn sinz,Eeeh nUbnd x byabiboro wmbwirg by network yubunt ng gt
Noec ko wanz gupesa,Ndabur UK bigend OE nunv nib biry
Nyne mhn ni VPn,Mp summary yaby nunv
Gxr,Nzabyemer mbibony klv nEj tumanuk xchl x
Monday,Ibizami byatangiy mn
yggg,Eyoo
Vp vp,"Ng gt x, N pow"
Cyneee,Ndakybon
Foooo,Cyz
Eeeh,Yewe
"Yoooo, Stempa ng ark urinax",Hhhh
Sicyan,Kuber
Ntabirenz,Umvac
Yooo,Bmz gtz
"N waneee, Oe",Flx kbs
Ex wamwana mhn,Uwuh
Wawund ukor show,"Eee, Knz mukwrk tsp"
Ntrb,Vp
Yooo,Vp
Mp iy bor tsp,Hhh
Kanz,"Poa, Irih x"
Eeeh nagosw mwn,Pow bikor
Nakahe hary,Kavuy h mn knd sinz uknakakubwir
Nyibuts gxr,"Sh ntg napfa kuyikurur icy nibuk cy yarivuyg, Kur tik tok, Yariyinniga iba ihagaz hanz"
Eeeh,Rekanz yolo night igere
,None
Ngh mp iy bor,Gxr
Rekanz,"K, Waratsh x"
Wapi nzavayo  sunday,Eeeh
Ntrb,Ur mubik z
Shn ndikwikinir PlayStation,Ee
Ntrb,Sup
,Ntb
,Yoo
Yoo,Nineza x
Sanaa,Vp
Pow,Uje fb shiaa
Byakaz kbs,"Narind gutambuka , Hubg oe"
Hhhh,Mba ndikuhakinira boro tuh
Izihe,Ntazo wamenya ghee
Aba ari insazii,Swa
Ntrb,You are now connected on Messenger
Slm bro,Poa pt
Hhhhhh amkr x sha,Nez
Wenye z,Yg
ngogute x,Poa
poshi nkiyi x nayibona mn,Cyn
Nimba ufit mulla,angahe x mn
17K,wamaye izindi pic nkareba nkakohereza x
None,nakandi x mn nakagusa
Hoy nitwitinshi,"nyeraka mpitemo, sibyo x"
Urishyurax,igo nyine oe  nyereke
Sawa,akombona arisawa ndaguha money
Reba yee,nyereka x
Sawa,cg nazo ufite mbireke
Ndazifit,Ark
Uzaze ku isoko kbs,None
Kurihe soko x,Downtown
ase wanze kunyereka akandi,Mn kanze mbankoresha Pc
